Bin Start (ns),Bin End (ns),Frequency
250,375,13
375,500,14434
500,625,396394
625,750,963802
750,875,822791
875,1000,552715
1000,1125,364310
1125,1250,233866
1250,1375,147740
1375,1500,133038
1500,1625,132643
1625,1750,103479
1750,1875,74007
1875,2000,50680
2000,2125,32760
2125,2250,26450
2250,2375,27130
2375,2500,25294
2500,2625,20625
2625,2750,16559
2750,2875,12851
2875,3000,10534
3000,3125,9759
3125,3250,8901
3250,3375,8078
3375,3500,7181
3500,3625,5974
3625,3750,4999
3750,3875,4316
3875,4000,3594
4000,4125,3270
4125,4250,3010
4250,4375,2671
4375,4500,2444
4500,4625,2215
4625,4750,1958
4750,4875,1895
4875,5000,1710
5000,5125,1697
5125,5250,1651
5250,5375,1584
5375,5500,1431
5500,5625,1398
5625,5750,1289
5750,5875,1218
5875,6000,1202
6000,6125,1137
6125,6250,1073
6250,6375,966
6375,6500,947
6500,6625,878
6625,6750,844
6750,6875,784
6875,7000,758
7000,7125,707
7125,7250,696
7250,7375,696
7375,7500,647
7500,7625,676
7625,7750,622
7750,7875,569
7875,8000,525
8000,8125,527
8125,8250,484
8250,8375,499
8375,8500,466
8500,8625,440
8625,8750,419
8750,8875,456
8875,9000,383
9000,9125,395
9125,9250,406
9250,9375,377
9375,9500,370
9500,9625,374
9625,9750,312
9750,9875,331
9875,10000,322
10000,10125,314
10125,10250,282
10250,10375,307
10375,10500,285
10500,10625,305
10625,10750,290
10750,10875,257
10875,11000,246
11000,11125,243
11125,11250,226
11250,11375,241
11375,11500,224
11500,11625,206
11625,11750,224
11750,11875,206
11875,12000,186
12000,12125,220
12125,12250,190
12250,12375,194
12375,12500,176
12500,12625,148
12625,12750,156
12750,12875,153
12875,13000,147
13000,13125,150
13125,13250,172
13250,13375,162
13375,13500,162
13500,13625,125
13625,13750,151
13750,13875,128
13875,14000,126
14000,14125,132
14125,14250,138
14250,14375,123
14375,14500,113
14500,14625,112
14625,14750,120
14750,14875,110
14875,15000,116
15000,15125,103
15125,15250,108
15250,15375,96
15375,15500,109
15500,15625,97
15625,15750,119
15750,15875,109
15875,16000,85
16000,16125,81
16125,16250,92
16250,16375,81
16375,16500,89
16500,16625,88
16625,16750,81
16750,16875,85
16875,17000,72
17000,17125,83
17125,17250,74
17250,17375,67
17375,17500,72
17500,17625,74
17625,17750,61
17750,17875,77
17875,18000,64
18000,18125,65
18125,18250,68
18250,18375,82
18375,18500,52
18500,18625,79
18625,18750,65
18750,18875,53
18875,19000,55
19000,19125,72
19125,19250,51
19250,19375,67
19375,19500,64
19500,19625,58
19625,19750,67
19750,19875,72
19875,20000,50
20000,20125,58
20125,20250,51
20250,20375,60
20375,20500,54
20500,20625,54
20625,20750,43
20750,20875,37
20875,21000,36
21000,21125,59
21125,21250,55
21250,21375,39
21375,21500,42
21500,21625,36
21625,21750,38
21750,21875,35
21875,22000,43
22000,22125,43
22125,22250,39
22250,22375,44
22375,22500,54
22500,22625,36
22625,22750,41
22750,22875,35
22875,23000,53
23000,23125,34
23125,23250,47
23250,23375,42
23375,23500,48
23500,23625,28
23625,23750,52
23750,23875,51
23875,24000,31
24000,24125,25
24125,24250,42
24250,24375,39
24375,24500,35
24500,24625,37
24625,24750,33
24750,24875,35
24875,25000,27
25000,25125,24
25125,25250,36
25250,25375,31
25375,25500,32
25500,25625,35
25625,25750,37
25750,25875,40
25875,26000,34
26000,26125,18
26125,26250,27
26250,26375,29
26375,26500,21
26500,26625,29
26625,26750,29
